Municípios,Código,Gentílico,População 2010,Área da unidade territorial (km²),Densidade demográfica (hab/km²),PIB a preços correntes
Buritama,3508108,buritamense,15.418,"326,76","47,2",286.794
Buritizal,3508207,buritinense,4.053,"266,42","15,2",240.004
Cabrália Paulista,3508306,cabraliense,4.365,"239,91","18,2",144.062
Cabreúva,3508405,cabreuvano,41.604,"260,23","159,9",2.382.232
Caçapava,3508504,caçapavense,84.752,"369,03","229,7",2.512.399
Cachoeira Paulista,3508603,cachoeirense,30.091,"287,99","104,5",414.726
Caconde,3508702,cacondense,18.538,"469,98","39,4",253.8
Cafelândia,3508801,cafelandense,16.607,"920,10","18,1",300.771
Caiabu,3508900,caiabuense,4.072,"252,84","16,1",54.148
Caieiras,3509007,caieirense,86.529,"96,10","900,4",2.065.535
Caiuá,3509106,caiuense,5.039,"549,89","9,2",88.106
Cajamar,3509205,cajamarense,64.114,"131,33","488,2",5.855.961
Cajati,3509254,cajatiense,28.372,"454,44","62,4",561.976
Cajobi,3509304,cajobiense,9.768,"176,90","55,2",138.65
Cajuru,3509403,cajuruense,23.371,"660,09","35,4",304.828
Campina do Monte Alegre,3509452,campinomontealegrense,5.567,"185,03","30,1",121.313
Campinas,3509502,campineiro,1.080.113,"794,43","1.359,6",40.525.214
Campo Limpo Paulista,3509601,campo-limpense,74.074,"79,40","932,9",1.094.197
Campos do Jordão,3509700,jordanense,47.789,"290,06","164,8",644.395
Campos Novos Paulista,3509809,campos-novense,4.539,"483,98","9,4",104.373
Cananéia,3509908,cananeiense,12.226,"1.239,38","9,9",133.197
Canas,3509957,canense,4.385,"53,26","82,3",44.515
Cândido Mota,3510005,cândido-motense,29.884,"596,21","50,1",585.844
Cândido Rodrigues,3510104,cândido-rodriguense,2.668,"70,31","37,9",58.347
Canitar,3510153,canitarense,4.369,"57,23","76,3",44.553
Capão Bonito,3510203,capão-bonitense,46.178,"1.640,23","28,2",649.489
Capela do Alto,3510302,capelense,17.532,"169,89","103,2",223.824
